"article_cond","SID","item","n","comment"
"self","s071","10",NA,NA
"self","s071","11",NA,NA
"self","s071","12",NA,NA
"self","s071","9",NA,NA
"self","s072","5",17,"This matters to me because I'm in the young adult demographic and this cause matters to me."
"self","s072","6",10,"This matters to me because I like trying new things."
"self","s072","7",17,"This matters to me because I like the environment and its sad if wildlife is getting killed."
"self","s072","8",12,"This is important to me because I'm interested in healthcare and exercise."
"self","s073","10",NA,NA
"self","s073","11",NA,NA
"self","s073","12",NA,NA
"self","s073","9",NA,NA
"self","s074","10",NA,NA
"self","s074","11",NA,NA
"self","s074","12",NA,NA
"self","s074","9",NA,NA
"self","s075","1",NA,NA
"self","s075","2",NA,NA
"self","s075","3",NA,NA
"self","s075","4",NA,NA
"self","s076","10",27,"This buying behavior of others effects the world I live in right now and hope to live in for at least another decade or two.  Selfish consumption."
"self","s076","11",50,"I have consumed Mt Dew for about 40 years now, so this one deeply relates to me.  Kicking the caffeine / soda habit has been hard for me.  I can go for a few months on no sugar drinks but when I have one Mt Dew, I am off the rails."
"self","s076","12",34,"I am actively working on getting my protein from plants.  I also eat albacore, chicken and turkey and not that much beef.  Article is another source of encouragement to keep going in this direction."
"self","s076","9",13,"This may explain my intermittent ability to sleep like a solid food baby."
"self","s077","5",NA,NA
"self","s077","6",NA,NA
"self","s077","7",NA,NA
"self","s077","8",NA,NA
"self","s078","5",NA,NA
"self","s078","6",NA,NA
"self","s078","7",NA,NA
"self","s078","8",NA,NA
"self","s079","10",NA,NA
"self","s079","11",NA,NA
"self","s079","12",NA,NA
"self","s079","9",NA,NA
"self","s080","5",NA,NA
"self","s080","6",NA,NA
"self","s080","7",NA,NA
"self","s080","8",NA,NA
"self","s081","5",NA,NA
"self","s081","6",NA,NA
"self","s081","7",NA,NA
"self","s081","8",NA,NA
"self","s082","10",NA,NA
"self","s082","11",NA,NA
"self","s082","12",NA,NA
"self","s082","9",NA,NA
"self","s083","1",NA,NA
"self","s083","2",NA,NA
"self","s083","3",NA,NA
"self","s083","4",NA,NA
"self","s084","1",18,"This article is important to me because many people are overweight and need to exercise to stay healthy."
"self","s084","2",17,"This article matters to me personally because I need to lose weight and worry about my health."
"self","s084","3",27,"This article matters to me personally as a woman and as a person who's niece is likely to get breast cancer because her mom died from it."
"self","s084","4",26,"This article matters because we all need to help with climate change and electric cars are one way to do that if you can afford one."
"self","s085","1",NA,NA
"self","s085","2",NA,NA
"self","s085","3",NA,NA
"self","s085","4",NA,NA
"self","s086","5",NA,NA
"self","s086","6",NA,NA
"self","s086","7",NA,NA
"self","s086","8",NA,NA
"self","s087","10",NA,NA
"self","s087","11",NA,NA
"self","s087","12",NA,NA
"self","s087","9",NA,NA
"self","s088","5",72,"This article matters to me personally because people will likely be impacted over time on a large scale if the world keeps burning coal based upon the profound risk mentioned in this article. I will likely be one of the people impacted since this is a global issue, so understanding more about it matters to me in the sense that I will likely be impacted if this issue of burning coal continues."
"self","s088","6",47,"This article matters to me personally because some of the main risk factors mentioned in the article such as high blood pressure and high glucose readings are applicable to me personally, so based on this article I would be at an increased risk of developing Parkinson's disease."
"self","s088","7",33,"This article matters to me personally because I will be impacted since the heat wave nudged the entire planet to its hottest June, so the warmer weather would impact me in that sense."
"self","s088","8",59,"This article matters to me personally because it addresses the ways in which global warming is an issue that is important in elections. As a voter this matters to me personally because I will be impacted over time by global warming and climate change, so considering how it impacts elections is also relevant to me and important to me."
"self","s089","5",NA,NA
"self","s089","6",NA,NA
"self","s089","7",NA,NA
"self","s089","8",NA,NA
"self","s090","5",28,"I live in a particularly hot area so when the planet as a whole experiences its ""hottest June"" I am likely to feel it strongly where I am"
"self","s090","6",39,"I am unable to get solar power where I currently am but have been wanting to use solar power at my home for many years since it is so hot where I live and energy bills are quite high"
"self","s090","7",11,"I should take good care of my hearing to prevent injuries"
"self","s090","8",19,"I have a couple of the conditions/symptoms listed so I might be at higher risk of Parkinson's disease"
"self","s091","5",NA,NA
"self","s091","6",NA,NA
"self","s091","7",NA,NA
"self","s091","8",NA,NA
"self","s092","10",NA,NA
"self","s092","11",NA,NA
"self","s092","12",NA,NA
"self","s092","9",NA,NA
"self","s093","1",NA,NA
"self","s093","2",NA,NA
"self","s093","3",NA,NA
"self","s093","4",NA,NA
"self","s094","1",9,"It is important for me to understand health matters."
"self","s094","2",13,"I would like to know how my bones are affected by physical activity."
"self","s094","3",8,"I would like to know about brief exercises."
"self","s094","4",14,"I drive a car and need to know if I can still drive it"
"self","s095","5",12,"It's important to know the potential side effects of dietary supplements are"
"self","s095","6",19,"Climate change is an existential threat to everyone, and this is relevant to that. Also, reducing waste is important"
"self","s095","7",12,"It's important to reducing food waste and I personally like to cook"
"self","s095","8",14,"Climate change is an existential threat to everyone, and this is relevant to that."
"self","s096","10",NA,NA
"self","s096","11",NA,NA
"self","s096","12",NA,NA
"self","s096","9",NA,NA
"self","s097","10",39,"I'm extremely proud of Generation Z for being so aware, motivated, and just amazing. We have left the earth in an awful shape, and they're doing their best to clean up after us. It means a lot to me."
"self","s097","11",22,"There's so much important wildlife, especially birds and manatee, in Florida. Thinking of the loss of life is extremely hard for me."
"self","s097","12",30,"I have severe chronic pain, and weed is the only thing that helps. I have used a lot of CBD products, and I've had great results with some of them."
"self","s097","9",26,"I love this, because we have done more than enough to ruin the precious wild places on the earth. More funding for conservation is always important."
"self","s098","1",NA,NA
"self","s098","2",NA,NA
"self","s098","3",NA,NA
"self","s098","4",NA,NA
"self","s099","1",NA,NA
"self","s099","2",NA,NA
"self","s099","3",NA,NA
"self","s099","4",NA,NA
"self","s100","1",NA,NA
"self","s100","2",NA,NA
"self","s100","3",NA,NA
"self","s100","4",NA,NA
"self","s101","1",21,"I am always curious how to prepare foods in the most nutritious way, since I am the primary cook at home."
"self","s101","2",11,"I have always felt that the fear of G.M.O.s was unjustified."
"self","s101","3",15,"The consequences of relying on coal effect us all due to impacts on the environment."
"self","s101","4",17,"I feel concerned about climate change, and would be curious what politicians are proposing to address it."
"self","s102","10",NA,NA
"self","s102","11",NA,NA
"self","s102","12",NA,NA
"self","s102","9",NA,NA
"self","s103","1",29,"This matters to me because I eat a lot of pizza and we always have left over boxes . I never recycle them though, I throw them in the trash."
"self","s103","2",26,"This article matters to me because I am trying to be healthy and I try to exercise as much as possible. My exercises included weights too."
"self","s103","3",22,"This matters to me personally because I like to run a lot and before each run I like to eat a banana."
"self","s103","4",32,"This matters to me because climate change is affecting the whole world and there is something that we all can do to lessen the harsh effects of climate change on the world."
"self","s104","1",NA,NA
"self","s104","2",NA,NA
"self","s104","3",NA,NA
"self","s104","4",NA,NA
"self","s105","5",NA,NA
"self","s105","6",NA,NA
"self","s105","7",NA,NA
"self","s105","8",NA,NA
"self","s106","1",NA,NA
"self","s106","2",NA,NA
"self","s106","3",NA,NA
"self","s106","4",NA,NA
"self","s107","1",NA,NA
"self","s107","2",NA,NA
"self","s107","3",NA,NA
"self","s107","4",NA,NA
"self","s108","10",NA,NA
"self","s108","11",NA,NA
"self","s108","12",NA,NA
"self","s108","9",NA,NA
"self","s109","1",NA,NA
"self","s109","2",NA,NA
"self","s109","3",NA,NA
"self","s109","4",NA,NA
"self","s110","5",NA,NA
"self","s110","6",NA,NA
"self","s110","7",NA,NA
"self","s110","8",NA,NA
"self","s111","5",NA,NA
"self","s111","6",NA,NA
"self","s111","7",NA,NA
"self","s111","8",NA,NA
"self","s112","5",NA,NA
"self","s112","6",NA,NA
"self","s112","7",NA,NA
"self","s112","8",NA,NA
"self","s113","1",7,"I will be alive in 20 years"
"self","s113","2",5,"Because I love the ocean"
"self","s113","3",6,"I know lots of fat people"
"self","s113","4",8,"I would like to use a Fitbit someday"
"self","s114","5",31,"It doesn't matter to me personally. I can't run because of a physical limitation. I am quite active and I don't need to read articles trying to influence my activity level."
"self","s114","6",53,"When I was young, over 40 years ago, we were told that plastics would never break down, that they would be around forever. Now we're being told that we are ingesting microplastics, i.e., plastics that are breaking down. This article is irrelevant to me since it is simply a rehashing of old information."
"self","s114","7",38,"This reminds me of the forced exercise programs of my youth in the 1960s. Perhaps the children might enjoy it, but it's of no interest to me. Please try to find some useful articles. This is so tedious."
"self","s114","8",19,"It is of no personal relevance to me. I have not gotten sucked into all these food hypersensitivity nonsense."
"self","s115","10",NA,NA
"self","s115","11",NA,NA
"self","s115","12",NA,NA
"self","s115","9",NA,NA
"self","s116","1",NA,NA
"self","s116","2",NA,NA
"self","s116","3",NA,NA
"self","s116","4",NA,NA
"self","s117","5",7,"let see if can be less fat"
"self","s117","6",6,"as a swimmer bones need pressure?"
"self","s117","7",13,"people destroying the environment for short term ""money"" is not cool with me"
"self","s117","8",9,"the whole world could also end in longer duration."
"self","s118","1",NA,NA
"self","s118","2",NA,NA
"self","s118","3",NA,NA
"self","s118","4",NA,NA
